Date,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_7,Ret_Lag_14,Ret_Lag_30,Close_to_MA_7,Close_to_MA_30,Close_to_MA_90,Vol_7,Vol_30,Mom_30,HL_Range,Volume_Change,Target,Close,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,Split
2012-03-30,0.19796114096759876,-0.7221112619349404,0.549659295146049,0.2720445344050027,0.9462714249267673,-0.01730802864367052,0.2302231665208653,-0.3789518229043336,-0.8187686872958553,0.1489071321553924,-0.12463647229158112,-0.35159022946872087,-0.5912557820479001,0.6226770908944544,0.004089985251525263,4.88,0,0,0,0,0,0,train
2012-03-31,0.054968908639762955,0.1981351502016542,-0.7221201677475126,-2.0802003495082984,-1.1844694272784244,-1.5638907441921919,0.27626312375956247,-0.33900511342357875,-0.8034185276110131,0.14070925869878967,-0.12409331176954763,-0.3421774834543931,-1.288454228927759,-0.027190037700231363,-0.0020429016298004754,4.9,0,1,0,0,0,0,train
2012-04-01,-0.15682972557178557,0.05518536850260976,0.19783458473755222,1.3271448495243539,-2.079060300532995,-1.1077864012413339,-0.00625993853675104,-0.3618031460162953,-0.8099355958123705,-0.6619420245956584,-0.18874923241593797,-0.15795751031740085,-0.7195137651304712,1.0934942214241883,0.030213778596496654,4.89,0,0,1,0,0,0,train
2012-04-02,0.9571514953979298,-0.15655038827110135,0.05493010903803869,0.7060416694815721,-0.3728815097861922,1.078772243255512,0.4780126489058153,-0.12716056844532145,-0.6983362180360602,-0.8058948602368657,-0.19480065885130993,0.11197132905126012,0.0526718930477939,1.7372190202335038,-0.009970172319849757,5.04,1,0,0,0,0,0,train
2012-04-03,-0.4305972249023347,0.9571001210052438,-0.1567385409518561,0.5485902030284958,1.1154880153388136,1.6586880987631145,0.14859879350569485,-0.22296210477974568,-0.7306346782829406,-0.8021307942737035,-0.22638104302511347,-0.08548176560455474,-0.42650472252853283,-2.111581090342537,0.004000005333345991,4.99,0,0,0,0,1,0,train
2012-04-04,0.05186146117731813,-0.43023661323940005,0.9565590118606794,-0.7222831720473121,-0.43545176653148016,-0.6350730581090445,0.18701283765083063,-0.18593046754082226,-0.703724352715619,-0.8677626178590421,-0.32001370998180656,-0.29587008731073816,-0.6158887360729308,0.3690428307607606,-0.0019980026626731373,5.01,0,0,0,0,0,1,train
2012-04-05,-0.1552791442388679,0.05207884355949741,-0.43033802477349015,0.19701615249727097,-1.0109866039115467,-0.4337606128356158,0.03622004909718585,-0.20416343434728695,-0.7035788977517254,-1.0153133136041415,-0.32948981510135195,-0.23303412071444743,-0.6140393696784312,0.4488326641737081,-0.0020020026706728533,5.0,0,0,0,1,0,0,train
2012-04-06,-0.15541728411452005,-0.15500026726495458,0.051824568665982985,0.05421349005100751,0.2722753949501111,0.4680895959729225,-0.08079438438908776,-0.22467340243221012,-0.6973245513040096,-1.00939342606239,-0.3334194968488583,-0.19656889113656606,-0.3646120997067785,0.9769602774138706,-0.059873401047414454,4.99,0,0,0,0,0,0,train
2012-04-07,-2.0794756103812393,-0.15513836613051488,-0.1551889112355927,-0.15730435518794414,-2.079060300532995,-0.6405946287819015,-1.270824563190756,-0.7033013433058353,-0.8953244879993757,-0.22436465039314624,-0.21419612226696821,-0.5390475159537396,0.36506241743219076,-1.8883289048219185,0.012685159527315637,4.7,0,1,0,0,0,0,train
2012-04-08,0.35180239141045994,-2.080023267516865,-0.15532696633258572,0.9552000213078079,1.326481013248117,-0.01646979721922969,-0.9159104438323475,-0.5913117539915429,-0.8395102817291555,-0.17382117082600804,-0.21431382052356662,-0.4092962081001839,-0.8268563730919131,-0.4126749809926419,-0.0021030501967786996,4.76,0,0,1,0,0,0,train
2012-04-09,-0.1589069503082405,0.35193072922790036,-2.0806748145688285,-0.4307089112202345,0.7059045120745846,0.329500140342873,-0.7775178781204222,-0.5980519041149763,-0.8294186233241118,-0.4071476452133458,-0.21467274401229466,-0.4279117516770588,-0.5652744979078264,-0.17791401356836664,0.010471299867295336,4.75,1,0,0,0,0,0,train
2012-04-10,0.275346969779239,-0.15862699633422536,0.35158142033552314,0.051110162242042165,0.5485865602499594,-0.15519700416530854,-0.4234345168758315,-0.5011821714091249,-0.7754923835107629,-0.3506676775349144,-0.21613529780645457,-0.43513042052181916,-0.7684614636186989,1.1247418474343218,0.024692612590371477,4.8,0,0,0,0,1,0,train
2012-04-11,0.7664785803449523,0.2754980051982898,-0.15881449086214622,-0.15575582951577716,-0.7212091482260771,1.9893426526161877,0.1933082461482544,-0.2910397371041607,-0.6728979345385212,-0.21527654764722817,-0.1925511850685112,-0.31478955383706775,-0.661747008456729,0.4974093574700106,0.0020304575503820033,4.92,0,0,0,0,0,1,train
2012-04-12,-0.01615667424864976,0.766483811720326,0.27517292062383647,-0.15589378625448932,0.19731063510166755,-0.281737015586283,0.28716585711891035,-0.25268625274133244,-0.6523127573665694,-0.21211111096344298,-0.3334465329433017,-0.5773408793006568,-0.28765433542740854,0.9470802711203081,0.0,4.93,0,0,0,1,0,0,train
